 Count  Overhead File                                                    Line Function
 =====  ======== ====                                                    ==== ========
  4220         0 @Base/client.jl                                          541 _start()
  4220         0 @Base/client.jl                                          567 repl_main
  4220         0 @Base/client.jl                                          430 run_main_repl(interactive::Bool, quiet::Bool, banner::Symbol, history_file::Bool, color_set::Bool)
  4220         0 @Base/essentials.jl                                     1052 invokelatest
  4220         0 @Base/essentials.jl                                     1055 #invokelatest#2
  4220         0 @Base/client.jl                                          446 (::Base.var"#1150#1152"{Bool, Symbol, Bool})(REPL::Module)
  4220         0 @REPL/src/REPL.jl                                        469 run_repl(repl::REPL.AbstractREPL, consumer::Any)
  4220         0 @REPL/src/REPL.jl                                        483 run_repl(repl::REPL.AbstractREPL, consumer::Any; backend_on_current_task::Bool, backend::Any)
  4220         0 @REPL/src/REPL.jl                                        324 kwcall(::NamedTuple, ::typeof(REPL.start_repl_backend), backend::REPL.REPLBackend, consumer::Any)
  4220         0 @REPL/src/REPL.jl                                        327 start_repl_backend(backend::REPL.REPLBackend, consumer::Any; get_module::Function)
  4220         0 @REPL/src/REPL.jl                                        342 repl_backend_loop(backend::REPL.REPLBackend, get_module::Function)
  4220         0 @REPL/src/REPL.jl                                        245 eval_user_input(ast::Any, backend::REPL.REPLBackend, mod::Module)
  3880         0 @TractableTreeDistributions/src/distributions/ccd1.jl     45 CCD1(trees::Vector{PhyloNetworks.HybridNetwork})
  3727         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    41 cladify_tree
  3538         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    61 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
   358         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    56 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
   121         0 @Base/dict.jl                                            371 setindex!(h::Dict{Any, Any}, v::Any, key::Leaf)
   235         0 @DataStructures/src/delegate.jl                           21 getindex
   235         0 @DataStructures/src/default_dict.jl                       63 getindex
   245         0 @Base/dict.jl                                            453 get!(default::Base.var"#264#265"{Int64}, h::Dict{Any, Any}, key::Clade)
    20         0 @Base/bitarray.jl                                       1214 ==
    27         0 @Base/bitarray.jl                                        104 size
    92         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    67 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
   287         0 @Base/hashing.jl                                          28 hash
