distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.9938
Height (LogNormal), Ratios (LogitNormal);0.8961
Height (LogNormal), Ratios (LogitNormal);0.7388
Height (LogNormal), Ratios (LogitNormal);0.32820000000000005
Height (LogNormal), Ratios (LogitNormal);0.22919999999999996
Height (LogNormal), Ratios (LogitNormal);0.4032
Height (LogNormal), Ratios (LogitNormal);0.7368
Height (LogNormal), Ratios (LogitNormal);0.21540000000000004
Height (LogNormal), Ratios (LogitNormal);0.19120000000000004
Height (LogNormal), Ratios (LogitNormal);0.9538
Height (LogNormal), Ratios (LogitNormal);0.23850000000000005
Height (LogNormal), Ratios (LogitNormal);0.16410000000000002
Height (LogNormal), Ratios (LogitNormal);0.9981
Height (LogNormal), Ratios (LogitNormal);0.18989999999999996
Height (LogNormal), Ratios (LogitNormal);0.21619999999999995
Height (LogNormal), Ratios (LogitNormal);0.14329999999999998
Height (LogNormal), Ratios (LogitNormal);0.7259
Height (LogNormal), Ratios (LogitNormal);0.3587
Height (LogNormal), Ratios (LogitNormal);0.8751
Height (LogNormal), Ratios (LogitNormal);0.7857000000000001
Height (LogNormal), Ratios (LogitNormal);0.48350000000000004
Height (LogNormal), Ratios (LogitNormal);0.9612
Height (LogNormal), Ratios (LogitNormal);0.916
Height (LogNormal), Ratios (LogitNormal);0.132
Height (LogNormal), Ratios (LogitNormal);0.7608
Height (LogNormal), Ratios (LogitNormal);0.8383
Height (LogNormal), Ratios (LogitNormal);0.5602
Height (LogNormal), Ratios (LogitNormal);0.5946
Height (LogNormal), Ratios (LogitNormal);0.5701
Height (LogNormal), Ratios (LogitNormal);0.040100000000000025
Height (LogNormal), Ratios (LogitNormal);0.5161
Height (LogNormal), Ratios (LogitNormal);0.4655
Height (LogNormal), Ratios (LogitNormal);0.37760000000000005
Height (LogNormal), Ratios (LogitNormal);0.16759999999999997
Height (LogNormal), Ratios (LogitNormal);0.5084
Height (LogNormal), Ratios (LogitNormal);0.6956
Height (LogNormal), Ratios (LogitNormal);0.20889999999999997
Height (LogNormal), Ratios (LogitNormal);0.15000000000000002
Height (LogNormal), Ratios (LogitNormal);0.13529999999999998
Height (LogNormal), Ratios (LogitNormal);0.7516
Height (LogNormal), Ratios (LogitNormal);0.6117
Height (LogNormal), Ratios (LogitNormal);0.05169999999999997
Height (LogNormal), Ratios (LogitNormal);0.5719000000000001
Height (LogNormal), Ratios (LogitNormal);0.2308
Height (LogNormal), Ratios (LogitNormal);0.9337
Height (LogNormal), Ratios (LogitNormal);0.3157
Height (LogNormal), Ratios (LogitNormal);0.31820000000000004
Height (LogNormal), Ratios (LogitNormal);0.6691
Height (LogNormal), Ratios (LogitNormal);0.17510000000000003
Height (LogNormal), Ratios (LogitNormal);0.9245
Height (LogNormal), Ratios (LogitNormal);0.17889999999999995
