distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.9639
Height (LogNormal), Ratios (LogitNormal);0.3087
Height (LogNormal), Ratios (LogitNormal);0.6027
Height (LogNormal), Ratios (LogitNormal);0.1079
Height (LogNormal), Ratios (LogitNormal);0.27559999999999996
Height (LogNormal), Ratios (LogitNormal);0.2499
Height (LogNormal), Ratios (LogitNormal);0.4961
Height (LogNormal), Ratios (LogitNormal);0.3113
Height (LogNormal), Ratios (LogitNormal);0.7224999999999999
Height (LogNormal), Ratios (LogitNormal);0.2539
Height (LogNormal), Ratios (LogitNormal);0.05479999999999996
Height (LogNormal), Ratios (LogitNormal);0.5306
Height (LogNormal), Ratios (LogitNormal);0.3379
Height (LogNormal), Ratios (LogitNormal);0.8477
Height (LogNormal), Ratios (LogitNormal);0.6308
Height (LogNormal), Ratios (LogitNormal);0.5605
Height (LogNormal), Ratios (LogitNormal);0.09789999999999999
Height (LogNormal), Ratios (LogitNormal);0.5966
Height (LogNormal), Ratios (LogitNormal);0.281
Height (LogNormal), Ratios (LogitNormal);0.48350000000000004
Height (LogNormal), Ratios (LogitNormal);0.9865
Height (LogNormal), Ratios (LogitNormal);0.4104
Height (LogNormal), Ratios (LogitNormal);0.23460000000000003
Height (LogNormal), Ratios (LogitNormal);0.21809999999999996
Height (LogNormal), Ratios (LogitNormal);0.9688
Height (LogNormal), Ratios (LogitNormal);0.30279999999999996
Height (LogNormal), Ratios (LogitNormal);0.37970000000000004
Height (LogNormal), Ratios (LogitNormal);0.5077
Height (LogNormal), Ratios (LogitNormal);0.7703
Height (LogNormal), Ratios (LogitNormal);0.7303999999999999
Height (LogNormal), Ratios (LogitNormal);0.6950000000000001
Height (LogNormal), Ratios (LogitNormal);0.6525000000000001
Height (LogNormal), Ratios (LogitNormal);0.6282
Height (LogNormal), Ratios (LogitNormal);1.0
Height (LogNormal), Ratios (LogitNormal);0.6756
Height (LogNormal), Ratios (LogitNormal);0.8101
Height (LogNormal), Ratios (LogitNormal);0.5361
Height (LogNormal), Ratios (LogitNormal);0.9973
Height (LogNormal), Ratios (LogitNormal);0.36729999999999996
Height (LogNormal), Ratios (LogitNormal);0.8101
Height (LogNormal), Ratios (LogitNormal);0.4444
Height (LogNormal), Ratios (LogitNormal);0.4689
Height (LogNormal), Ratios (LogitNormal);0.4294
Height (LogNormal), Ratios (LogitNormal);0.42269999999999996
Height (LogNormal), Ratios (LogitNormal);0.019000000000000017
Height (LogNormal), Ratios (LogitNormal);0.9071
Height (LogNormal), Ratios (LogitNormal);0.587
Height (LogNormal), Ratios (LogitNormal);0.8130999999999999
Height (LogNormal), Ratios (LogitNormal);0.41779999999999995
Height (LogNormal), Ratios (LogitNormal);0.7099
Height (LogNormal), Ratios (LogitNormal);0.6167
Height (LogNormal), Ratios (LogitNormal);0.6626000000000001
Height (LogNormal), Ratios (LogitNormal);0.15169999999999995
Height (LogNormal), Ratios (LogitNormal);0.25329999999999997
Height (LogNormal), Ratios (LogitNormal);0.8647
Height (LogNormal), Ratios (LogitNormal);0.6361
Height (LogNormal), Ratios (LogitNormal);0.14690000000000003
Height (LogNormal), Ratios (LogitNormal);0.07130000000000003
Height (LogNormal), Ratios (LogitNormal);0.4195
Height (LogNormal), Ratios (LogitNormal);0.38370000000000004
Height (LogNormal), Ratios (LogitNormal);0.6895
Height (LogNormal), Ratios (LogitNormal);0.03600000000000003
Height (LogNormal), Ratios (LogitNormal);0.9004
Height (LogNormal), Ratios (LogitNormal);0.9665
Height (LogNormal), Ratios (LogitNormal);0.31189999999999996
Height (LogNormal), Ratios (LogitNormal);0.718
Height (LogNormal), Ratios (LogitNormal);0.5604
Height (LogNormal), Ratios (LogitNormal);0.03249999999999997
Height (LogNormal), Ratios (LogitNormal);0.5926
Height (LogNormal), Ratios (LogitNormal);0.41800000000000004
Height (LogNormal), Ratios (LogitNormal);0.6978
Height (LogNormal), Ratios (LogitNormal);0.702
Height (LogNormal), Ratios (LogitNormal);0.5313
Height (LogNormal), Ratios (LogitNormal);0.38739999999999997
Height (LogNormal), Ratios (LogitNormal);0.41590000000000005
Height (LogNormal), Ratios (LogitNormal);0.25980000000000003
Height (LogNormal), Ratios (LogitNormal);0.5726
Height (LogNormal), Ratios (LogitNormal);0.0816
Height (LogNormal), Ratios (LogitNormal);0.37970000000000004
Height (LogNormal), Ratios (LogitNormal);0.0917
Height (LogNormal), Ratios (LogitNormal);0.8128
Height (LogNormal), Ratios (LogitNormal);0.13939999999999997
Height (LogNormal), Ratios (LogitNormal);0.7049000000000001
Height (LogNormal), Ratios (LogitNormal);0.6356999999999999
Height (LogNormal), Ratios (LogitNormal);0.9063
Height (LogNormal), Ratios (LogitNormal);0.11129999999999995
Height (LogNormal), Ratios (LogitNormal);0.23960000000000004
Height (LogNormal), Ratios (LogitNormal);0.8298
Height (LogNormal), Ratios (LogitNormal);0.381
Height (LogNormal), Ratios (LogitNormal);0.16849999999999998
Height (LogNormal), Ratios (LogitNormal);0.6872
Height (LogNormal), Ratios (LogitNormal);0.4598
Height (LogNormal), Ratios (LogitNormal);0.8079000000000001
Height (LogNormal), Ratios (LogitNormal);0.7498
Height (LogNormal), Ratios (LogitNormal);0.11319999999999997
Height (LogNormal), Ratios (LogitNormal);0.39990000000000003
Height (LogNormal), Ratios (LogitNormal);0.487
Height (LogNormal), Ratios (LogitNormal);0.44989999999999997
Height (LogNormal), Ratios (LogitNormal);0.11329999999999996
Height (LogNormal), Ratios (LogitNormal);0.41100000000000003
Height (LogNormal), Ratios (LogitNormal);0.888
Height (LogNormal), Ratios (LogitNormal);0.18010000000000004
Height (LogNormal), Ratios (LogitNormal);0.30579999999999996
Height (LogNormal), Ratios (LogitNormal);0.05259999999999998
Height (LogNormal), Ratios (LogitNormal);0.3096
Height (LogNormal), Ratios (LogitNormal);0.4393
Height (LogNormal), Ratios (LogitNormal);0.48760000000000003
Height (LogNormal), Ratios (LogitNormal);0.27349999999999997
Height (LogNormal), Ratios (LogitNormal);0.31079999999999997
Height (LogNormal), Ratios (LogitNormal);0.8653
Height (LogNormal), Ratios (LogitNormal);0.16549999999999998
Height (LogNormal), Ratios (LogitNormal);0.07520000000000004
Height (LogNormal), Ratios (LogitNormal);0.7618
Height (LogNormal), Ratios (LogitNormal);0.14390000000000003
Height (LogNormal), Ratios (LogitNormal);0.011900000000000022
Height (LogNormal), Ratios (LogitNormal);0.5837
Height (LogNormal), Ratios (LogitNormal);0.6884
Height (LogNormal), Ratios (LogitNormal);0.16259999999999997
Height (LogNormal), Ratios (LogitNormal);0.9518
Height (LogNormal), Ratios (LogitNormal);0.9887
Height (LogNormal), Ratios (LogitNormal);0.01739999999999997
Height (LogNormal), Ratios (LogitNormal);0.7375
Height (LogNormal), Ratios (LogitNormal);0.9134
Height (LogNormal), Ratios (LogitNormal);0.6271
Height (LogNormal), Ratios (LogitNormal);0.849
Height (LogNormal), Ratios (LogitNormal);0.4777
Height (LogNormal), Ratios (LogitNormal);0.10819999999999996
Height (LogNormal), Ratios (LogitNormal);0.20909999999999995
Height (LogNormal), Ratios (LogitNormal);0.7289
Height (LogNormal), Ratios (LogitNormal);0.5135000000000001
Height (LogNormal), Ratios (LogitNormal);0.9143
Height (LogNormal), Ratios (LogitNormal);0.8236
Height (LogNormal), Ratios (LogitNormal);0.8256
Height (LogNormal), Ratios (LogitNormal);0.13749999999999996
Height (LogNormal), Ratios (LogitNormal);0.9318
Height (LogNormal), Ratios (LogitNormal);0.7168
Height (LogNormal), Ratios (LogitNormal);0.6787000000000001
Height (LogNormal), Ratios (LogitNormal);0.595
Height (LogNormal), Ratios (LogitNormal);0.5199
Height (LogNormal), Ratios (LogitNormal);0.6528
Height (LogNormal), Ratios (LogitNormal);0.4667
Height (LogNormal), Ratios (LogitNormal);0.026900000000000035
Height (LogNormal), Ratios (LogitNormal);0.2267
Height (LogNormal), Ratios (LogitNormal);0.7287
Height (LogNormal), Ratios (LogitNormal);0.8174
Height (LogNormal), Ratios (LogitNormal);0.9004
Height (LogNormal), Ratios (LogitNormal);0.8035
Height (LogNormal), Ratios (LogitNormal);0.8846
Height (LogNormal), Ratios (LogitNormal);0.15739999999999998
Height (LogNormal), Ratios (LogitNormal);0.6062000000000001
Height (LogNormal), Ratios (LogitNormal);0.30810000000000004
Height (LogNormal), Ratios (LogitNormal);0.13029999999999997
Height (LogNormal), Ratios (LogitNormal);0.6009
Height (LogNormal), Ratios (LogitNormal);0.7803
Height (LogNormal), Ratios (LogitNormal);0.4454
Height (LogNormal), Ratios (LogitNormal);0.5271
Height (LogNormal), Ratios (LogitNormal);0.5675
Height (LogNormal), Ratios (LogitNormal);0.2026
Height (LogNormal), Ratios (LogitNormal);0.06620000000000004
Height (LogNormal), Ratios (LogitNormal);0.6975
Height (LogNormal), Ratios (LogitNormal);0.9727
Height (LogNormal), Ratios (LogitNormal);0.9885
Height (LogNormal), Ratios (LogitNormal);0.15659999999999996
Height (LogNormal), Ratios (LogitNormal);0.7457
Height (LogNormal), Ratios (LogitNormal);0.4054
Height (LogNormal), Ratios (LogitNormal);0.1493
Height (LogNormal), Ratios (LogitNormal);0.22650000000000003
Height (LogNormal), Ratios (LogitNormal);0.119
Height (LogNormal), Ratios (LogitNormal);0.15239999999999998
Height (LogNormal), Ratios (LogitNormal);0.24109999999999998
Height (LogNormal), Ratios (LogitNormal);0.6711
Height (LogNormal), Ratios (LogitNormal);0.5005999999999999
Height (LogNormal), Ratios (LogitNormal);0.5437000000000001
Height (LogNormal), Ratios (LogitNormal);0.9415
Height (LogNormal), Ratios (LogitNormal);0.8967
Height (LogNormal), Ratios (LogitNormal);0.9598
Height (LogNormal), Ratios (LogitNormal);0.4507
Height (LogNormal), Ratios (LogitNormal);0.7673
Height (LogNormal), Ratios (LogitNormal);0.9441
Height (LogNormal), Ratios (LogitNormal);0.6414
Height (LogNormal), Ratios (LogitNormal);0.4282
Height (LogNormal), Ratios (LogitNormal);0.9482
Height (LogNormal), Ratios (LogitNormal);0.7657
Height (LogNormal), Ratios (LogitNormal);0.15190000000000003
Height (LogNormal), Ratios (LogitNormal);0.7209
Height (LogNormal), Ratios (LogitNormal);0.8761
Height (LogNormal), Ratios (LogitNormal);0.4444
Height (LogNormal), Ratios (LogitNormal);0.7827
Height (LogNormal), Ratios (LogitNormal);0.19230000000000003
Height (LogNormal), Ratios (LogitNormal);0.5552
Height (LogNormal), Ratios (LogitNormal);0.5445
Height (LogNormal), Ratios (LogitNormal);0.3338
Height (LogNormal), Ratios (LogitNormal);0.4668
Height (LogNormal), Ratios (LogitNormal);0.21319999999999995
Height (LogNormal), Ratios (LogitNormal);0.30410000000000004
Height (LogNormal), Ratios (LogitNormal);0.11829999999999996
Height (LogNormal), Ratios (LogitNormal);0.12439999999999996
Height (LogNormal), Ratios (LogitNormal);0.8895
Height (LogNormal), Ratios (LogitNormal);0.20599999999999996
Height (LogNormal), Ratios (LogitNormal);0.9993
Height (LogNormal), Ratios (LogitNormal);0.9811
Height (LogNormal), Ratios (LogitNormal);0.3768
Height (LogNormal), Ratios (LogitNormal);0.395
Height (LogNormal), Ratios (LogitNormal);0.8382000000000001
Height (LogNormal), Ratios (LogitNormal);0.6308
Height (LogNormal), Ratios (LogitNormal);0.6573
Height (LogNormal), Ratios (LogitNormal);0.8694999999999999
Height (LogNormal), Ratios (LogitNormal);0.49660000000000004
Height (LogNormal), Ratios (LogitNormal);0.935
Height (LogNormal), Ratios (LogitNormal);0.2865
Height (LogNormal), Ratios (LogitNormal);0.5533
Height (LogNormal), Ratios (LogitNormal);0.8033
Height (LogNormal), Ratios (LogitNormal);0.5728
Height (LogNormal), Ratios (LogitNormal);0.2643
Height (LogNormal), Ratios (LogitNormal);0.42269999999999996
Height (LogNormal), Ratios (LogitNormal);0.34750000000000003
Height (LogNormal), Ratios (LogitNormal);0.7648
Height (LogNormal), Ratios (LogitNormal);0.9638
Height (LogNormal), Ratios (LogitNormal);0.6917
Height (LogNormal), Ratios (LogitNormal);0.23919999999999997
Height (LogNormal), Ratios (LogitNormal);0.30700000000000005
Height (LogNormal), Ratios (LogitNormal);0.9172
Height (LogNormal), Ratios (LogitNormal);0.8089999999999999
Height (LogNormal), Ratios (LogitNormal);0.9068
Height (LogNormal), Ratios (LogitNormal);0.9727
Height (LogNormal), Ratios (LogitNormal);0.7113
Height (LogNormal), Ratios (LogitNormal);0.3268
Height (LogNormal), Ratios (LogitNormal);0.9123
Height (LogNormal), Ratios (LogitNormal);0.20909999999999995
Height (LogNormal), Ratios (LogitNormal);0.038000000000000034
Height (LogNormal), Ratios (LogitNormal);0.23040000000000005
Height (LogNormal), Ratios (LogitNormal);0.8432999999999999
Height (LogNormal), Ratios (LogitNormal);0.5015000000000001
Height (LogNormal), Ratios (LogitNormal);0.33230000000000004
Height (LogNormal), Ratios (LogitNormal);0.14470000000000005
Height (LogNormal), Ratios (LogitNormal);0.024700000000000055
Height (LogNormal), Ratios (LogitNormal);0.14649999999999996
Height (LogNormal), Ratios (LogitNormal);0.1321
Height (LogNormal), Ratios (LogitNormal);0.5013000000000001
Height (LogNormal), Ratios (LogitNormal);0.9355
Height (LogNormal), Ratios (LogitNormal);0.4061
Height (LogNormal), Ratios (LogitNormal);0.616
Height (LogNormal), Ratios (LogitNormal);0.4586
Height (LogNormal), Ratios (LogitNormal);0.9741
