distribution;metric;value
-;tree_ess;49177.94484777368
Height (LogNormal), Ratios (LogitNormal);log_data_likelihood;836029.7198341017
Height (LogNormal), Ratios (LogitNormal);anderson_darling_test_statistics;6.578495173114255
Height (LogNormal), Ratios (LogitNormal);anderson_darling_p_value;0.00048357877363983045
Height (LogNormal), Ratios (Beta);log_data_likelihood;842795.4042808395
Height (LogNormal), Ratios (Beta);anderson_darling_test_statistics;1.7669756816702806
Height (LogNormal), Ratios (Beta);anderson_darling_p_value;0.12434295040099455
Shortest Branch (LogNormal);log_data_likelihood;830987.6183458136
Shortest Branch (LogNormal);anderson_darling_test_statistics;54.28406598103046
Shortest Branch (LogNormal);anderson_darling_p_value;2.0221262203892686e-26
Shortest Branch (Gamma);log_data_likelihood;841329.3433122719
Shortest Branch (Gamma);anderson_darling_test_statistics;2.7257405250717484
Shortest Branch (Gamma);anderson_darling_p_value;0.037701107546832154
Shortest Branch (Weibull);log_data_likelihood;837982.2219293229
Shortest Branch (Weibull);anderson_darling_test_statistics;61.98727982924425
Shortest Branch (Weibull);anderson_darling_p_value;4.928531758882278e-30
Last Divergence (LogNormal), Branches (LogNormal);log_data_likelihood;788731.4122909604
Last Divergence (LogNormal), Branches (LogNormal);anderson_darling_test_statistics;6.4292732496165055
Last Divergence (LogNormal), Branches (LogNormal);anderson_darling_p_value;0.0005727352817944903
Last Divergence (Gamma), Branches (Gamma);log_data_likelihood;801186.3121705544
Last Divergence (Gamma), Branches (Gamma);anderson_darling_test_statistics;39.526726921642016
Last Divergence (Gamma), Branches (Gamma);anderson_darling_p_value;1.6886638710799812e-19
Last Divergence (Weibull), Branches (Weibull);log_data_likelihood;799678.562609248
Last Divergence (Weibull), Branches (Weibull);anderson_darling_test_statistics;128.1587432877603
Last Divergence (Weibull), Branches (Weibull);anderson_darling_p_value;4.5275859685602864e-61
