distribution;sample_credible_set
Height (LogNormal), Ratios (TreeDirichletDist);0.5099
Height (LogNormal), Ratios (TreeDirichletDist);0.2793
Height (LogNormal), Ratios (TreeDirichletDist);0.5706
Height (LogNormal), Ratios (TreeDirichletDist);0.41169999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.7881
Height (LogNormal), Ratios (TreeDirichletDist);0.9919
Height (LogNormal), Ratios (TreeDirichletDist);0.6799
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.5891
Height (LogNormal), Ratios (TreeDirichletDist);0.31110000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.9079
Height (LogNormal), Ratios (TreeDirichletDist);0.5648
Height (LogNormal), Ratios (TreeDirichletDist);0.14539999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.5306
Height (LogNormal), Ratios (TreeDirichletDist);0.24460000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.8174
Height (LogNormal), Ratios (TreeDirichletDist);0.9941
Height (LogNormal), Ratios (TreeDirichletDist);0.3893
Height (LogNormal), Ratios (TreeDirichletDist);0.6483
Height (LogNormal), Ratios (TreeDirichletDist);0.17369999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.2539
Height (LogNormal), Ratios (TreeDirichletDist);0.1745
Height (LogNormal), Ratios (TreeDirichletDist);0.663
Height (LogNormal), Ratios (TreeDirichletDist);0.9953
Height (LogNormal), Ratios (TreeDirichletDist);0.5332
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.8204
Height (LogNormal), Ratios (TreeDirichletDist);0.5569
Height (LogNormal), Ratios (TreeDirichletDist);0.39580000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.36219999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.4232
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.23570000000000002
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.633
